dockernet-gaia1-1  | 4:18AM INF starting node with ABCI Tendermint in-process
dockernet-gaia1-1  | 4:18AM INF service start impl=multiAppConn module=proxy msg={}
dockernet-gaia1-1  | 4:18AM INF service start connection=query impl=localClient module=abci-client msg={}
dockernet-gaia1-1  | 4:18AM INF service start connection=snapshot impl=localClient module=abci-client msg={}
dockernet-gaia1-1  | 4:18AM INF service start connection=mempool impl=localClient module=abci-client msg={}
dockernet-gaia1-1  | 4:18AM INF service start connection=consensus impl=localClient module=abci-client msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=EventBus module=events msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=PubSub module=pubsub msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=IndexerService module=txindex msg={}
dockernet-gaia1-1  | 4:18AM INF ABCI Handshake App Info hash= height=0 module=consensus protocol-version=0 software-version=HEAD-321d15a574def0f338ceacc5c060159ebba95edc
dockernet-gaia1-1  | 4:18AM INF ABCI Replay Blocks appHeight=0 module=consensus stateHeight=0 storeHeight=0
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=1/12 module=x/crisis name=bank/nonnegative-outstanding
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=2/12 module=x/crisis name=bank/total-supply
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=3/12 module=x/crisis name=gov/module-account
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=4/12 module=x/crisis name=distribution/nonnegative-outstanding
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=5/12 module=x/crisis name=distribution/can-withdraw
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=6/12 module=x/crisis name=distribution/reference-count
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=7/12 module=x/crisis name=distribution/module-account
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=8/12 module=x/crisis name=liquidity/escrow-amount
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=9/12 module=x/crisis name=staking/module-accounts
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=10/12 module=x/crisis name=staking/nonnegative-power
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=11/12 module=x/crisis name=staking/positive-delegation
dockernet-gaia1-1  | 4:18AM INF asserting crisis invariants inv=12/12 module=x/crisis name=staking/delegator-shares
dockernet-gaia1-1  | 4:18AM INF asserted all invariants duration=0.511564 height=0 module=x/crisis
dockernet-gaia1-1  | 4:18AM INF created new capability module=ibc name=ports/transfer
dockernet-gaia1-1  | 4:18AM INF port binded module=x/ibc/port port=transfer
dockernet-gaia1-1  | 4:18AM INF claimed capability capability=1 module=transfer name=ports/transfer
dockernet-gaia1-1  | 4:18AM INF created new capability module=ibc name=ports/icahost
dockernet-gaia1-1  | 4:18AM INF port binded module=x/ibc/port port=icahost
dockernet-gaia1-1  | 4:18AM INF claimed capability capability=2 module=icahost name=ports/icahost
dockernet-gaia1-1  | 4:18AM INF created new capability module=ibc name=ports/provider
dockernet-gaia1-1  | 4:18AM INF port binded module=x/ibc/port port=provider
dockernet-gaia1-1  | 4:18AM INF claimed capability capability=3 module=provider name=ports/provider
dockernet-gaia1-1  | 4:18AM INF Completed ABCI Handshake - CometBFT and App are synced appHash= appHeight=0 module=consensus
dockernet-gaia1-1  | 4:18AM INF Version info abci=0.17.0 block=11 cmtbft_version=0.34.27 commit_hash= p2p=8
dockernet-gaia1-1  | 4:18AM INF This node is a validator addr=92AF58D61B8537EC46539CA4AD82E4B598B7DE8D module=consensus pubKey=7tl3sfZalZxFjLD0SV7Ad4l9Ok+40e+8sQzzxJwNZUA=
dockernet-gaia1-1  | 4:18AM INF P2P Node ID ID=681c3b3d017d3d23ba14512569fabbc0207cdc0a file=/home/gaia/.gaia/config/node_key.json module=p2p
dockernet-gaia1-1  | 4:18AM INF Adding persistent peers addrs=[] module=p2p
dockernet-gaia1-1  | 4:18AM INF Adding unconditional peer ids ids=[] module=p2p
dockernet-gaia1-1  | 4:18AM INF Add our address to book addr={"id":"681c3b3d017d3d23ba14512569fabbc0207cdc0a","ip":"0.0.0.0","port":26656} book=/home/gaia/.gaia/config/addrbook.json module=p2p
dockernet-gaia1-1  | 4:18AM INF service start impl=Node msg={}
dockernet-gaia1-1  | 4:18AM INF Starting pprof server laddr=localhost:6060
dockernet-gaia1-1  | 4:18AM INF serve module=rpc-server msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl="P2P Switch" module=p2p msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=ConsensusReactor module=consensus msg={}
dockernet-gaia1-1  | 4:18AM INF Reactor  module=consensus waitSync=false
dockernet-gaia1-1  | 4:18AM INF service start impl=ConsensusState module=consensus msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=baseWAL module=consensus msg={} wal=/home/gaia/.gaia/data/cs.wal/wal
dockernet-gaia1-1  | 4:18AM INF service start impl=Group module=consensus msg={} wal=/home/gaia/.gaia/data/cs.wal/wal
dockernet-gaia1-1  | 4:18AM INF service start impl=TimeoutTicker module=consensus msg={}
dockernet-gaia1-1  | 4:18AM INF Searching for height height=1 max=0 min=0 module=consensus wal=/home/gaia/.gaia/data/cs.wal/wal
dockernet-gaia1-1  | 4:18AM INF Searching for height height=0 max=0 min=0 module=consensus wal=/home/gaia/.gaia/data/cs.wal/wal
dockernet-gaia1-1  | 4:18AM INF Found height=0 index=0 module=consensus wal=/home/gaia/.gaia/data/cs.wal/wal
dockernet-gaia1-1  | 4:18AM INF Catchup by replaying consensus messages height=1 module=consensus
dockernet-gaia1-1  | 4:18AM INF Replay: Done module=consensus
dockernet-gaia1-1  | 4:18AM INF service start impl=Evidence module=evidence msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=StateSync module=statesync msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=PEX module=pex msg={}
dockernet-gaia1-1  | 4:18AM INF service start book=/home/gaia/.gaia/config/addrbook.json impl=AddrBook module=p2p msg={}
dockernet-gaia1-1  | 4:18AM INF service start impl=BlockchainReactor module=blockchain msg={}
dockernet-gaia1-1  | 4:18AM INF Saving AddrBook to file book=/home/gaia/.gaia/config/addrbook.json module=p2p size=0
dockernet-gaia1-1  | 4:18AM INF serve module=api-server msg={}
dockernet-gaia1-1  | 4:18AM INF Ensure peers module=pex numDialing=0 numInPeers=0 numOutPeers=0 numToDial=10
dockernet-gaia1-1  | 4:18AM INF No addresses to dial. Falling back to seeds module=pex
dockernet-gaia1-1  | 4:18AM INF Timed out dur=995.360944 height=1 module=consensus round=0 step=1
dockernet-gaia1-1  | 4:18AM INF received proposal module=consensus proposal={"Type":32,"block_id":{"hash":"73D896E6D1F6F2754D1DA76A990C6EA3DAF64938F4BACF3724E74F060F83010C","parts":{"hash":"F8B1DB112BC7AC1863F80CD40E03807B98C189FEAA115E1CE71943D9FEA71241","total":1}},"height":1,"pol_round":-1,"round":0,"signature":"YBDiSWiyEAU+Hzb7wyLXs0GB9+6nOy5KoWtxdnOnd9dBxi3wdkaP/aZ0y1airpCyOf9w48CVgDb/TL2jqzbfAA==","timestamp":"2023-07-14T04:18:10.74954235Z"}
dockernet-gaia1-1  | 4:18AM INF received complete proposal block hash=73D896E6D1F6F2754D1DA76A990C6EA3DAF64938F4BACF3724E74F060F83010C height=1 module=consensus
